title,summary,publish_date,positive,neutral,negative
"[단독]한타·윤관, '최윤범 우군'서 이탈…<b>고려아연</b> 지분 전량 매각","최윤범 고려아연 회장의 우군으로 여겨졌던 백기사들이 지분을 매각하며 이탈하고 있습니다. 한국타이어와 조양래 명예회장, 윤관 BRV캐피탈 대표 등이 지분을 모두 정리하면서 최 회장의 경영권 방어에 어려움이 예상됩니다. 특히, 최 회장이 추진했던 대규모 유상증자 계획이 주주들의 반발을 불러일으키며 이탈을 가속화시켰습니다. 현재 최 회장 측의 지분은 MBK 연합에 비해 크게 부족한 상황이며, 백기사로 남아 있는 곳은 한화그룹뿐입니다. MBK 연합이 계속해서 지분을 매수하고 있어 격차는 더욱 벌어질 가능성이 큽니다.",2024-11-25,0.00015329553571064025,0.0001834283844800666,0.999663257598877
"영풍, <b>고려아연</b>에 받은 배당금만 1조1300억 달한다","고려아연은 최근 이사회에서 일반공모 유상증자 결정을 철회했으며, 영풍 측은 고려아연으로부터 총 1조1300억원의 배당금을 수령했습니다. 영풍의 고려아연 주식 투자수익률은 4979%에 달하며, 이는 영풍이 과거에 약 2만원에 주식을 취득했기 때문입니다. 최윤범 회장이 대표이사로 취임한 이후, 장씨 일가와 영풍 등 관련 회사에 지급된 배당금 총액은 6020억원에 이르렀습니다. 영풍은 올해 상반기 영업손실을 기록했지만, 고려아연으로부터 받은 배당금 덕분에 반기순이익을 기록했습니다. 지난 3월 주주총회에서 영풍 측은 배당을 더 올려달라고 요구했으나, 다른 주주들이 고려아연 경영진을 지지하면서 이 요구는 부결되었습니다.",2024-11-24,0.00016974119353108108,0.00018783541454467923,0.9996424555778504
"영풍, <b>고려아연</b>에 배당금만 1조1300억 수령","영풍 측은 고려아연으로부터 약 1조3000억원의 배당금을 수령했으며, 투자수익률은 4979%에 달합니다. 최윤범 회장이 고려아연의 대표이사로 취임한 이후 배당금 지급액이 크게 증가했으며, 장씨 일가와 영풍 관련 회사들이 주요 수혜자가 되었습니다. 영풍은 올해 상반기 영업손실을 기록했지만, 고려아연으로부터 받은 배당금 덕분에 반기순이익을 기록할 수 있었습니다. 영풍은 고려아연의 주주총회에서 배당금 인상을 요구했으나, 다른 주주들이 현 경영진을 지지하면서 요구가 부결되었습니다. 영풍의 고려아연 주식 취득원가는 약 2만원으로, 이를 기반으로 한 투자수익률은 4979%로 추정됩니다.",2024-11-24,0.00017506468575447797,0.0001916109467856586,0.9996333599090577
"거래소, '유증 철회' <b>고려아연</b> 불성실공시법인 지정 예고","고려아연은 지난달 30일, 발행주식의 20%에 해당하는 보통주를 일반 공모 방식으로 신규 발행하여 2조5000억원을 조달할 계획을 발표했습니다. 그러나 주주가치 제고를 이유로 자기주식을 공개매수한 직후 유상증자 계획을 발표하면서 주가가 흔들리고 시장의 비판이 커졌습니다. 이에 금융감독원의 제동이 걸리자, 고려아연은 일주일 만에 유상증자 결정을 철회했습니다. 한국거래소는 이러한 공시 번복을 이유로 고려아연을 불성실공시법인으로 지정 예고했으며, 이는 벌점과 공시위반제재금 부과로 이어질 수 있습니다. 벌점이 누적되면 관리종목으로 지정되고, 유사 사례가 재발할 경우 상장폐지실질심사 대상이 될 수 있습니다.",2024-11-22,0.00015920164514682256,0.00015404814257635735,0.9996867626905441
<b>고려아연</b>에 알테오젠까지 투자한 상장사가 있다?… 주식만 760억치 쥔 이...,"삼정펄프는 알테오젠 주식을 포함해 다양한 국내외 상장 주식과 비상장 주식, 사모펀드 등에 투자하여 총 3000억원 이상의 자산을 보유하고 있습니다. 그러나 삼정펄프의 시가총액은 644억원으로, 보유 자산 가치에 비해 현저히 낮은 평가를 받고 있습니다. 이는 삼정펄프가 주주 환원에 인색하고, 최대주주 및 특수관계자가 대부분의 지분을 보유하고 있어 소액 주주들의 지분이 사실상 무의미하기 때문입니다. 삼정펄프는 자사주 매입 없이 간헐적인 현금 배당만을 실시하고 있으며, 주가가 낮아 현금배당수익률은 4%에 달합니다. 이러한 상황에서 삼정펄프는 자산운용사에 가까운 운영을 하고 있지만, 주주들에게 이익을 환원하지 않아 일반 투자자들에게는 매력적이지 않은 주식으로 평가받고 있습니다.",2024-11-25,0.00016095252067316324,0.00015462774608749897,0.9996844530105591
"한국거래소, <b>고려아연</b> 불성실공시법인 지정 예고","고려아연은 유상증자 결정을 철회하면서 한국거래소로부터 불성실공시법인 지정 예고를 받았다. 이 회사는 자사주 소각 후 대규모 유상증자를 발표했으나, 금융감독원의 제동으로 일주일 만에 이를 철회했다. 시장에서는 경영권 분쟁 중 주주가치를 제고하겠다는 발표와 상반되는 유상증자 결정에 비판이 제기되었다. 불성실공시법인으로 지정되면 벌점과 제재금이 부과되며, 벌점이 누적되면 관리종목으로 지정될 수 있다. 관리종목 지정 후에도 유사한 사례가 발생하면 상장폐지실질심사 대상이 될 위험이 있다.",2024-11-22,0.000156537358998321,0.0002496631757821888,0.9995937705039978
"거래소, '유상증자 철회' <b>고려아연</b> 불성실공시법인 지정 예고","고려아연이 유상증자 결정을 철회하면서 한국거래소로부터 불성실공시법인 지정을 예고받았습니다. 고려아연은 자사주 소각 후 대규모 유상증자를 발표했으나, 이는 주주가치를 제고하겠다는 이전의 행보와 상반되어 비판을 받았습니다. 금융감독원은 이 결정이 투자자에게 오해를 줄 수 있다며 증권신고서 정정을 요구했고, 결국 고려아연은 유상증자 결정을 철회했습니다. 불성실공시법인으로 지정되면 벌점과 제재금이 부과되며, 벌점이 누적되면 관리종목으로 지정될 수 있습니다. 관리종목 지정 후에도 유사 사례가 발생하면 상장폐지실질심사 대상이 될 수 있습니다.",2024-11-22,0.00016551061708014458,0.0003196609584847465,0.9995148420333863
"한국거래소, ‘유상증자 철회’ <b>고려아연</b> 불성실공시법인 지정 예고","고려아연은 지난달 자사주 소각 후 대규모 유상증자를 발표했으나, 이를 철회하면서 논란이 발생했습니다. 한국거래소는 이러한 공시 번복을 이유로 고려아연을 불성실공시법인으로 지정할 예정입니다. 금융감독원은 유상증자가 투자자에게 중대한 오해를 일으킬 수 있다며 증권신고서 정정을 요구했고, 이에 고려아연은 유상증자 결정을 철회했습니다. 불성실공시법인으로 지정되면 벌점과 제재금이 부과되며, 벌점이 누적되면 관리종목으로 지정될 수 있습니다. 관리종목 지정 후에도 비슷한 사례가 반복되면 상장폐지실질심사 대상이 될 수 있습니다.",2024-11-22,0.00017525884613860397,0.0003531956259394065,0.9994715332984925
"영풍-MBK, <b>고려아연</b> 지분 10년 보유 계약 논란… &quot;공시 내용에 없다&quot;","강성두 영풍 사장이 MBK파트너스와의 협약으로 고려아연 지분을 10년 동안 보유할 것이라고 밝힌 발언이 논란이 되고 있습니다. MBK와 영풍의 경영협력계약에는 MBK가 고려아연 지분을 10년간 보유해야 한다는 내용이 포함되어 있지 않으며, 이는 강 사장의 발언과 상충됩니다. MBK는 고려아연 주식을 제3자에게 매각할 수 있는 '공동매각요구권'을 가지고 있으며, 이 권한의 행사 기한에 제한이 없습니다. 이러한 상황에서 주주들에게 공개되지 않은 새로운 경영협력계약이 있을 가능성이 제기되고 있으며, 이는 법적 문제를 야기할 수 있습니다. 또한, MBK는 특정 조건 하에 콜옵션을 사용하여 영풍이 소유한 고려아연 주식의 일부를 취득할 수 있는 권리를 가지고 있습니다.",2024-11-25,0.000185480056097731,0.00019379774748813362,0.9996207237243653
"한국거래소, '유상증자 철회' <b>고려아연</b>에 불성실공시법인 지정 예고","고려아연이 유상증자 결정을 철회하면서 한국거래소가 불성실공시법인 지정을 예고했습니다. 고려아연은 자사주 소각 후 신규 발행을 계획했으나, 경영권 분쟁 속에서 주주가치를 제고하겠다는 발표와 상반되는 유상증자 결정으로 비판을 받았습니다. 금융감독원의 제동으로 인해 고려아연은 유상증자 결정을 철회하게 되었습니다. 한국거래소는 유가증권시장 상장공시위원회의 심의를 통해 불성실공시법인 지정 여부와 제재를 결정할 예정입니다. 이 사건은 기업의 공시 번복과 관련된 문제를 조명하고 있습니다.",2024-11-22,0.0001403301503160037,0.00016817472060211004,0.9996914744377137
